ID,UF_CLIENTID_BANK,UF_CLIENTID_FOND,UF_GUID_AP
306,2760,999-9003-000032924,37A9F335-A964-473D-9342-5A356E02B305
305,2741,999-9003-000032905,396B7200-1898-46F2-BF27-BFFF90997D1F
304,2676,999-9003-000032840,EE041B61-67F5-424C-BD88-567010ADC94E
303,2635,999-9003-000032799,0AD21EF7-EABC-49D9-934C-15B309DF91FF
302,2542,999-9003-000032706,6F37A738-563A-4BDF-9B5C-42194548454B
301,2525,999-9003-000032689,E7EFB87D-12D7-497A-99D1-FCAF2EF7AAC3
300,2515,999-9003-000032679,CDD8ABEF-B119-4B72-8B7E-7DAE86720372
299,2509,999-9003-000032673,B18CEB44-0B23-4CA0-8B63-72E3BBFE3F03
298,2450,999-9003-000032614,A6D40E48-FE11-4D3A-81E2-4E02F85B38BE
297,2436,999-9003-000032600,76301888-1484-4F4C-BE34-46D14E75F981
296,2407,999-9003-000032571,7346E694-6EA9-4384-8899-EF4142B43699
295,2402,999-9003-000032566,972C87FC-CFE4-487E-99F1-3751C4BBBF6A
294,2332,999-9003-000032496,592274CF-740F-44F3-9689-0119609DF15A
293,2288,999-9003-000032452,E00D485C-178A-43AB-A0B2-5EC1D2502F9C
292,2287,999-9003-000032451,E714D324-72B8-4009-9DDE-19429B971574
291,2255,999-9003-000032419,C30177D5-39F4-4E3A-B8B2-784C87CD8216
290,2249,999-9003-000032413,265F2A0B-7B67-462E-B273-D3F7CB54F217
289,2221,999-9003-000032385,ED37BBF4-5F99-4196-BDF9-AC154715DF79
288,2182,999-9003-000032346,1E2A1A29-EB2D-4C3C-B4B9-277CFB2451BF
287,2148,999-9003-000032312,095E4680-6514-4F5E-9C9C-80C1C3B9FD19
286,2069,999-9003-000032233,3AF9CDB8-5DBB-407A-86E4-2E72D521FFA8
285,1974,999-9003-000032138,7B124246-E111-419D-A3EE-387A3F40D55E
284,1902,999-9003-000032066,D517C27C-75FC-4E21-8529-B8749B9087E5
283,1859,999-9003-000032023,D6C8B1BD-A206-4C78-B3C5-23D99CE61847
282,1820,999-9003-000031984,180BD1F7-A043-42DD-9110-3A5131AB253E
281,1819,999-9003-000031983,4D851BD9-CD3E-4D05-A5BB-1D505956864B
280,1666,999-9003-000031830,E3C2C540-18D8-48BE-AC52-B2CFAD864F2A
279,1583,999-9003-000031747,3525F5B8-967E-4AB9-8B25-68295C70EF3D
278,1549,999-9003-000031713,1882A7D6-35BC-409F-AF50-C48DD7A2E37B
277,1449,999-9003-000031613,2FB9994C-9A65-4CF3-BB5B-21696A118F6D
276,1441,999-9003-000031605,3D2B87F1-5795-4AEB-9A64-5BAC213E4221
275,1417,999-9003-000031581,3EDC6D79-6B2B-42A2-840E-CC843180F747
274,1380,999-9003-000031544,0FC4AE3D-5B66-4D6F-80E6-0B5DDC60EA70
273,1364,999-9003-000031528,A91985D2-9113-43C9-B772-5C887C8FE0F3
272,1253,999-9003-000031417,62C31426-AA2B-4F4F-B2DA-A13805A47D51
271,1243,999-9003-000031407,91A0DF3C-BF6A-4C7F-9434-A21305C13D96
270,1144,999-9003-000031308,30805EC9-C311-4203-8DA2-025386E309B7
269,1129,999-9003-000031293,C90AE875-E721-47D7-8D65-29B2D8FC2C8F
